記号,銘柄,株価,PER,予想PER,EPS,ROE,利益率,配当利回り,PBR,ROA,RSI,MA50,FCFマージン,粗利率,アクルーアル,MACD_GC,MACD_DC,次回決算日,決算猶予日数,出来高,平均出来高50日,200日MA,20日高値,配当日,52週高値,52週下落率,静寂後急増,BBスクイーズ,RSIダイバージェンス
MMM,3M Company,156.49000549316406,30.152216,16.501484,5.19,0.71458,0.11137,1.96,25.014387,0.08118,47.07466539971945,152.75724365234376,0.05595638928972262,0.39911014911014914,0.02501788885060822,0,0,2026/07/21,14,477791,3865939.82,156.8225513458252,167.97000122070312,2026/05/22,177.41,0.11791891385398756,0,1,0
AOS,A.O. Smith Corporation,61.650001525878906,16.44,14.755688,3.75,0.28267,0.13841,2.27,4.5247707,0.12775,56.66394158744338,59.21858177185059,0.1425513028040311,0.38833481280350896,-0.02246404480081456,0,0,2026/07/30,23,405575,1787339.5,66.38658014297485,62.720001220703125,2026/04/30,81.87,0.2469768959829131,0,0,0
ABT,Abbott Laboratories,96.51499938964844,27.035015,15.936877,3.57,0.123339996,0.13904999,2.64,3.2291143,0.0559,69.35602158893086,89.0857000732422,0.1668245804006497,0.5641806533116765,-0.035081245026697266,0,0,2026/07/16,9,3965628,13184024.56,110.59939208984375,96.51499938964844,2026/07/15,137.49,0.2980216787428291,0,0,0
ABBV,AbbVie Inc.,255.69000244140625,125.33824,15.721892,2.04,0.0,0.05786,2.72,-67.8763,0.10032,76.15832615029645,220.800400390625,0.29130150425114454,0.7023544800523218,-0.11051060017915795,0,0,2026/07/31,24,2045289,7202717.78,220.1646672821045,261.07000732421875,2026/07/15,261.64,0.022741161743593245,0,0,0
ACN,Accenture plc,143.1387939453125,11.432811,9.755271,12.52,0.24406,0.10656,4.76,2.7462788,0.10903,35.318731999861285,164.64477661132813,0.15607715456166024,0.31913952808418106,-0.058046822827781196,0,0,-,-19,3598561,8350121.22,218.30478523254394,174.42999267578125,2026/07/09,307.77,0.5349163532985265,0,0,0
ADBE,Adobe Inc.,227.92999267578125,13.032018,8.279782,17.49,0.62953997,0.28689,0.0,7.895867,0.19926001,67.80584923137926,233.94300079345703,0.41448946106272877,0.8926753334174765,-0.09835231895850285,0,0,2026/09/10,65,4619114,6506954.28,287.33250007629397,244.99000549316406,2005/03/24,386.6,0.4104242300160858,0,0,0
AMD,"Advanced Micro Devices, Inc.",520.5,174.66443,39.43403,2.98,0.08063,0.13374,0.0,13.161554,0.03647,45.923463358347796,469.65600036621095,0.19443401945783653,0.4951644100580271,-0.04386033330733432,0,0,2026/08/04,28,17356848,36688238.96,281.95109985351564,580.9099731445312,1995/04/27,584.73,0.10984556975014112,0,0,0
AES,The AES Corporation,14.630000114440918,7.619792,6.1482472,1.92,0.052600004,0.10819,4.83,2.3604388,0.027139999,44.18604135385871,14.55737319946289,-0.1326739148205673,0.1807406196354124,-0.0656003708854891,0,0,2026/07/30,23,2953546,10034152.92,14.201060934066772,14.710000038146973,2026/05/01,17.65,0.1711048093801179,0,1,0
AFL,AFLAC Incorporated,121.62000274658203,13.899429,16.018778,8.75,0.16469,0.25596002,2.03,2.0723853,0.03088,63.51508752116448,116.09775024414063,0.14721982137712475,0.0,0.009367219026358719,0,0,2026/08/06,30,666691,2550555.82,111.1650867843628,121.62000274658203,2026/05/20,122.785,0.00948810728849587,0,0,0
A,"Agilent Technologies, Inc.",131.0850067138672,26.32229,19.8228,4.98,0.21330999,0.19552,0.78,5.1943655,0.08613,51.41731319805669,123.76039001464844,0.16580310880829016,0.5243235463442717,-0.020114716743930228,0,0,2026/08/26,50,780420,2389358.4,130.17276626586914,135.74888610839844,2026/06/30,160.27,0.18209891611738205,0,1,0
